match_id,innings,team,bowler,overs,balls,runs,wickets,dots,fours,sixes,wides,noballs,economy,strike_rate,average
3,2,England,LE Plunkett,4.0,24,24,1,9,1,1,0,0,6.0,24.0,24.0
3,2,England,MS Crane,4.0,24,38,1,8,3,2,0,0,9.5,24.0,38.0
unknown,1,England,DJ Willey,2.0,12,20,0,6,1,2,1,0,10.0,0.0,0.0
unknown,1,England,JE Root,2.0,12,11,0,6,1,0,2,0,5.5,0.0,0.0
unknown,1,England,TK Curran,4.0,24,46,1,8,3,4,1,0,11.5,24.0,46.0
unknown,1,England,CJ Jordan,4.0,24,46,1,5,3,3,2,0,11.5,24.0,46.0
unknown,1,England,LE Plunkett,4.0,24,27,4,10,2,1,1,0,6.75,6.0,6.75
unknown,1,England,AU Rashid,4.0,24,26,3,9,2,1,0,0,6.5,8.0,8.67
unknown,2,West Indies,JE Taylor,3.0,18,40,1,4,5,1,0,0,13.33,18.0,40.0
unknown,2,West Indies,KOK Williams,4.0,24,35,3,7,4,0,3,0,8.75,8.0,11.67
unknown,2,West Indies,CR Brathwaite,3.5,21,25,3,9,2,0,0,0,7.14,7.0,8.33
unknown,2,West Indies,SP Narine,4.0,24,15,2,13,1,0,0,0,3.75,12.0,7.5
unknown,2,West Indies,AR Nurse,3.0,18,23,1,5,2,0,1,0,7.67,18.0,23.0
unknown,2,West Indies,KA Pollard,2.0,12,17,0,4,1,1,0,0,8.5,0.0,0.0
1,1,England,TS Mills,4.0,24,27,1,6,2,0,1,0,6.75,24.0,27.0
1,1,England,CJ Jordan,4.0,24,28,2,10,3,0,1,1,7.0,12.0,14.0
1,1,England,LE Plunkett,4.0,24,32,1,8,5,0,0,0,8.0,24.0,32.0
1,1,England,BA Stokes,4.0,24,39,1,5,2,1,5,0,9.75,24.0,39.0
1,1,England,MM Ali,4.0,24,21,2,9,1,0,0,0,5.25,12.0,10.5
1,2,India,A Nehra,3.0,18,31,0,5,2,1,2,0,10.33,0.0,0.0
1,2,India,JJ Bumrah,3.2,19,26,0,9,3,1,0,1,8.21,0.0,0.0
1,2,India,YS Chahal,4.0,24,27,2,11,1,2,0,0,6.75,12.0,13.5
1,2,India,Parvez Rasool,4.0,24,32,1,6,1,2,0,0,8.0,24.0,32.0
1,2,India,SK Raina,2.0,12,17,0,1,0,1,0,0,8.5,0.0,0.0
