match_id,match_type,season,venue,city,date,gender,overs,balls_per_over,player_of_match,toss_winner,toss_decision,match_winner,result_type,result_margin,umpire_1,umpire_2,team_1,team_2
5,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-19,male,20,6,Zeeshan Maqsood,Oman,field,Oman,9,9,unknown,unknown,Canada,Oman
6,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,2022-02-19,male,20,6,K Bhurtel,Philippines,field,Nepal,136,136,unknown,unknown,Nepal,Philippines
7,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-19,male,20,6,Chirag Suri,United Arab Emirates,bat,United Arab Emirates,24,24,unknown,unknown,United Arab Emirates,Germany
8,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,2022-02-19,male,20,6,GJ Delany,Ireland,bat,Ireland,21,21,unknown,unknown,Ireland,Bahrain
9,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-21,male,20,6,J Little,Ireland,field,Ireland,7,7,unknown,unknown,Germany,Ireland
10,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,2022-02-21,male,20,6,Sarfaraz Ali,Bahrain,bat,Bahrain,2,2,unknown,unknown,Bahrain,United Arab Emirates
11,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-21,male,20,6,S Lamichhane,Canada,bat,Nepal,8,8,unknown,unknown,Canada,Nepal
12,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,2022-02-21,male,20,6,Khawar Ali,Philippines,bat,Oman,9,9,unknown,unknown,Philippines,Oman
13,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-22,male,20,6,M Spoors,Canada,field,Canada,6,6,unknown,unknown,Germany,Canada
14,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,2022-02-22,male,20,6,P Kurup,Bahrain,bat,Bahrain,91,91,unknown,unknown,Bahrain,Philippines
unknown,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-22,male,20,6,Ahmed Raza,United Arab Emirates,bat,United Arab Emirates,68,68,unknown,unknown,United Arab Emirates,Nepal
unknown,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,2022-02-22,male,20,6,AR McBrine,Oman,field,Ireland,56,56,unknown,unknown,Ireland,Oman
unknown,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-24,male,20,6,H Thaker,Bahrain,bat,Canada,7,7,unknown,unknown,Bahrain,Canada
unknown,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,2022-02-24,male,20,6,SVE Bharathi,Germany,field,Germany,9,9,unknown,unknown,Philippines,Germany
unknown,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,2022-02-24,male,20,6,S Lamichhane,Oman,bat,Nepal,9,9,unknown,unknown,Oman,Nepal
unknown,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-24,male,20,6,Waseem Muhammad,Ireland,bat,United Arab Emirates,7,7,unknown,unknown,Ireland,United Arab Emirates
4,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-13,male,20,6,Rohan Mustafa,Ireland,field,United Arab Emirates,13,13,unknown,unknown,United Arab Emirates,Ireland
1,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-11,male,20,6,DS Airee,Nepal,field,Nepal,6,6,unknown,unknown,Oman,Nepal
3,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-12,male,20,6,A Balbirnie,Ireland,field,Ireland,9,9,unknown,unknown,Oman,Ireland
5,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-14,male,20,6,Aamir Kaleem,Oman,field,Oman,7,7,unknown,unknown,United Arab Emirates,Oman
6,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-14,male,20,6,DS Airee,Nepal,field,Ireland,16,16,unknown,unknown,Ireland,Nepal
2,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-12,male,20,6,Chirag Suri,Nepal,field,United Arab Emirates,25,25,unknown,unknown,United Arab Emirates,Nepal
1,T20,2022,"The Village, Malahide, Dublin",Dublin,2022-06-26,male,20,6,YS Chahal,India,field,India,7,7,unknown,unknown,Ireland,India
2,T20,2022,"The Village, Malahide, Dublin",Dublin,2022-06-28,male,20,6,DJ Hooda,India,bat,India,4,4,unknown,unknown,India,Ireland
1,T20,2022,"Civil Service Cricket Club, Stormont, Belfast",Belfast,2022-07-18,male,20,6,GD Phillips,Ireland,field,New Zealand,31,31,unknown,unknown,New Zealand,Ireland
2,T20,2022,"Civil Service Cricket Club, Stormont, Belfast",Belfast,2022-07-20,male,20,6,D Cleaver,Ireland,field,New Zealand,88,88,unknown,unknown,New Zealand,Ireland
3,T20,2022,"Civil Service Cricket Club, Stormont, Belfast",Belfast,2022-07-22,male,20,6,GD Phillips,Ireland,bat,New Zealand,6,6,unknown,unknown,Ireland,New Zealand
1,T20,2022,"County Ground, Bristol",Bristol,2022-08-03,male,20,6,RR Hendricks,South Africa,bat,South Africa,21,21,unknown,unknown,South Africa,Ireland
2,T20,2022,"County Ground, Bristol",Bristol,2022-08-05,male,20,6,WD Parnell,Ireland,field,South Africa,44,44,unknown,unknown,South Africa,Ireland
1,T20,2021/22,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,2022-03-28,male,20,6,S Lamichhane,Papua New Guinea,field,Nepal,15,15,unknown,unknown,Nepal,Papua New Guinea
2,T20,2021/22,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,2022-03-29,male,20,6,S Muniandy,Malaysia,bat,Malaysia,8,8,unknown,unknown,Malaysia,Papua New Guinea
3,T20,2021/22,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,2022-03-30,male,20,6,Aasif Sheikh,Malaysia,bat,Nepal,6,6,unknown,unknown,Malaysia,Nepal
4,T20,2021/22,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,2022-03-31,male,20,6,Karan KC,Papua New Guinea,field,Nepal,37,37,unknown,unknown,Nepal,Papua New Guinea
5,T20,2021/22,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,2022-04-01,male,20,6,TP Ura,Papua New Guinea,field,Papua New Guinea,8,8,unknown,unknown,Malaysia,Papua New Guinea
6,T20,2021/22,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,2022-04-02,male,20,6,DS Airee,Malaysia,field,Nepal,85,85,unknown,unknown,Nepal,Malaysia
unknown,T20,2021/22,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,2022-04-04,male,20,6,DS Airee,Papua New Guinea,field,Nepal,50,50,unknown,unknown,Nepal,Papua New Guinea
1,T20,2022,"R Premadasa Stadium, Colombo",Colombo,2022-06-07,male,20,6,JR Hazlewood,Australia,field,Australia,10,10,unknown,unknown,Sri Lanka,Australia
2,T20,2022,"R Premadasa Stadium, Colombo",Colombo,2022-06-08,male,20,6,MS Wade,Australia,field,Australia,3,3,unknown,unknown,Sri Lanka,Australia
3,T20,2022,Pallekele International Cricket Stadium,Kandy,2022-06-11,male,20,6,MD Shanaka,Australia,bat,Sri Lanka,4,4,unknown,unknown,Australia,Sri Lanka
1,T20,2022,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,2022-07-27,male,20,6,FH Allen,Scotland,field,New Zealand,68,68,unknown,unknown,New Zealand,Scotland
2,T20,2022,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,2022-07-29,male,20,6,MS Chapman,New Zealand,bat,New Zealand,102,102,unknown,unknown,New Zealand,Scotland
1,T20,2022,"United Cricket Club Ground, Windhoek",Windhoek,2022-04-08,male,20,6,SJ Baard,Namibia,field,Namibia,8,8,unknown,unknown,Uganda,Namibia
2,T20,2022,"United Cricket Club Ground, Windhoek",Windhoek,2022-04-09,male,20,6,DM Nakrani,Uganda,field,Uganda,7,7,unknown,unknown,Namibia,Uganda
3,T20,2022,"United Cricket Club Ground, Windhoek",Windhoek,2022-04-10,male,20,6,JJ Smit,Uganda,field,Namibia,52,52,unknown,unknown,Namibia,Uganda
1,T20,2022,"Desert Springs Cricket Ground, Almeria",Almeria,2022-04-29,male,20,6,,Norway,bat,Norway,37,37,unknown,unknown,Norway,Guernsey
2,T20,2022,"Desert Springs Cricket Ground, Almeria",Almeria,2022-04-30,male,20,6,Yasir Ali,Spain,bat,Spain,51,51,unknown,unknown,Spain,Norway
3,T20,2022,"Desert Springs Cricket Ground, Almeria",Almeria,2022-04-30,male,20,6,T Nightingale,Norway,bat,Guernsey,8,8,unknown,unknown,Norway,Guernsey
4,T20,2022,"Desert Springs Cricket Ground, Almeria",Almeria,2022-04-30,male,20,6,LA Burns,Guernsey,bat,Spain,8,8,unknown,unknown,Guernsey,Spain
5,T20,2022,"Desert Springs Cricket Ground, Almeria",Almeria,2022-05-01,male,20,6,MWR Stokes,Spain,bat,Guernsey,8,8,unknown,unknown,Spain,Guernsey
6,T20,2022,"Desert Springs Cricket Ground, Almeria",Almeria,2022-05-01,male,20,6,D Doyle-Calle,Spain,bat,Spain,41,41,unknown,unknown,Spain,Norway
1,T20,2022,"Svanholm Park, Brondby",Brondby,2022-05-07,male,20,6,Rizwan Mahmood,Finland,field,Finland,3,3,unknown,unknown,Denmark,Finland
2,T20,2022,"Svanholm Park, Brondby",Brondby,2022-05-07,male,20,6,T Bharaj,Finland,field,Denmark,138,138,unknown,unknown,Denmark,Finland
3,T20,2022,"Svanholm Park, Brondby",Brondby,2022-05-08,male,20,6,HAM Shah,Denmark,bat,Denmark,55,55,unknown,unknown,Denmark,Finland
1,T20,2022,Marsa Sports Club,Marsa,2022-05-10,male,20,6,B George,Malta,field,Malta,5,5,unknown,unknown,Gibraltar,Malta
2,T20,2022,Marsa Sports Club,Marsa,2022-05-10,male,20,6,B Arora,Hungary,field,Malta,45,45,unknown,unknown,Malta,Hungary
3,T20,2022,Marsa Sports Club,Marsa,2022-05-10,male,20,6,HV Mandhyan,Hungary,field,Hungary,4,4,unknown,unknown,Gibraltar,Hungary
